Name,Image,Type,Group,Rarity,Item id,Becomes,Drawn at,Family tags,Weight kg,What it is,Note
Finesse Weapon,,Icon,Cost 2,Common,finesse-weapon,items/finesse-weapon.webp + finesse-weapon-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, One-Handed, Finesse",0.9,"A rapier, a smallsword, a long knife. Fast in, faster out.",
Short Bow,,Icon,Cost 2,Common,short-bow,items/short-bow.webp + short-bow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Bow",1,"A hunting bow: light draw, fast nock, close work.",
Flintlock Pistol,,Icon,Cost 2,Common,flintlock-pistol,items/flintlock-pistol.webp + flintlock-pistol-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Firearm",1.5,"Powder and shot in one hand. Three balls, then reload.",
Fire Wand,,Icon,Cost 2,Common,fire-wand,items/fire-wand.webp + fire-wand-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Wand",0.3,"Carved rowan with a seam of ember down it, and it never quite goes out.",
Frost Wand,,Icon,Cost 2,Common,frost-wand,items/frost-wand.webp + frost-wand-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Wand",0.3,Rowan gone white to the grain. It is cold to hold and colder to point.,
Lightning Wand,,Icon,Cost 2,Common,lightning-wand,items/lightning-wand.webp + lightning-wand-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Wand",0.3,"Rowan with copper wound the length of it, and the hair on your arm knows.",
Fist Weapon,,Icon,Cost 2,Common,fist-weapon,items/fist-weapon.webp + fist-weapon-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Fist",1,"Banded cestus on both hands, and nothing between you and the work.",
Melee Light,,Icon,Cost 3,Common,melee-light,items/melee-light.webp + melee-light-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, One-Handed, Light Melee",1.5,"A sword, an axe or a mace: one hand on the grip, the other free.",
Bow,,Icon,Cost 3,Common,bow,items/bow.webp + bow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Bow",1.2,The bow everybody means when they say bow.,
Flintlock Rifle,,Icon,Cost 3,Common,flintlock-rifle,items/flintlock-rifle.webp + flintlock-rifle-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Firearm",4.5,A long barrel and a slow reload for a shot that carries.,
Whip,,Icon,Cost 3,Common,whip,items/whip.webp + whip-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, One-Handed, Whip, Reach",1.2,Braided leather that bites at fifteen feet and drags them closer.,
Light Crossbow,,Icon,Cost 3,Common,light-crossbow,items/light-crossbow.webp + light-crossbow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, One-Handed, Crossbow",2,"Small enough for one hand, and the first anyone knows is the bolt.",
Psychic Tome of Incantations,,Icon,Cost 3,Common,psychic-tome,items/psychic-tome.webp + psychic-tome-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Tome",2.2,"A clasped book read aloud from, and the words arrive before the sound does.",
Sacred Tome of Incantations,,Icon,Cost 3,Common,sacred-tome,items/sacred-tome.webp + sacred-tome-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Tome",2.2,"A clasped book read aloud from, and what it says of you is held against you.",
Decay Tome of Incantations,,Icon,Cost 3,Common,decay-tome,items/decay-tome.webp + decay-tome-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Tome",2.2,"A clasped book read aloud from, and the page is damp where the thumb goes.",
Paired Finesse,,Icon,Cost 3,Common,paired-finesse,items/paired-finesse.webp + paired-finesse-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Finesse, Paired",1.8,"A matched pair of short blades, and nothing spare to catch anything with.",
Enchanted Instrument,,Icon,Cost 3,Common,enchanted-instrument,items/enchanted-instrument.webp + enchanted-instrument-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Instrument",2.5,A worked fiddle or hurdy-gurdy whose notes arrive as a shove rather than a sound.,
Finesse + Shield,,Icon,Cost 3,Common,finesse-shield,items/finesse-shield.webp + finesse-shield-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Shielded",5.4,A light blade in one hand and a banded round in the other.,
Melee Heavy,,Icon,Cost 4,Common,melee-heavy,items/melee-heavy.webp + melee-heavy-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Heavy Melee",3.5,A greatsword or a maul that needs your whole body behind it.,
Long Bow,,Icon,Cost 4,Common,long-bow,items/long-bow.webp + long-bow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Bow",1.5,A tall yew bow that reaches across the whole field.,
Portable Canon,,Icon,Cost 4,Common,portable-canon,items/portable-canon.webp + portable-canon-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Firearm",12,"A hand-braced cannon. One shot, and everything after it is ringing.",
Polearm,,Icon,Cost 4,Common,polearm,items/polearm.webp + polearm-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Melee, Two-Handed, Polearm, Reach",3,"A halberd or glaive, held at the far end, hitting things that have not arrived yet.",
Crossbow,,Icon,Cost 4,Common,crossbow,items/crossbow.webp + crossbow-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Crossbow",4,"Wound tight, held loaded and spent all at once.",
Rivenstave,,Icon,Cost 4,Common,sharp-staff,items/sharp-staff.webp + sharp-staff-thumb.webp,"40px tile in every block, 52px in the equip prompt, 360px item card","Ranged, Two-Handed, Staff",1.6,A caster’s stave that throws the air out in edges.,
