What the old card said,"What it says now, and why"
"Alchemist - Rank 1, headed ""Rank 1 - Novice Alchemist""","ALCHEMY. A card never names its own rank on this site: the Tags column carries it, and the name is the card’s own first word."
"""during a long rest, you can craft two potions while still benefiting from a long rest""","""whenever you take a long rest you can use your long rest action to brew two of them and still benefit from the rest"". A rest here buys exactly one action, and a card that spends it says which one it is spending. Same idiom as FUNGAL INVOCATION and ARCANE RESEARCH."
"""you need to have the required components and willpower available""","The components are priced in Supplies and charged to the crate on the night. The Willpower is not charged: brewing happens inside a long rest and a long rest ends by filling Willpower, so it is a price nobody would ever pay. Asked for by Jules, 2026-08-24."
No per-potion component price anywhere in the source,"Supplies = 10 x the Willpower the old potions table printed. The Willpower column is the designer’s own ordering of the seven and is the only per-potion number the source has. The scale is fixed by the APOTHECARY background skill, which already crafts a healing potion at a long rest ""by expending 20 Supplies"", and the Healing Draught’s own 2 Willpower times ten is exactly 20."
"""You learn the Alchemical Ingredients and Improvised Brewing abilities.""","Dropped. Both are Novice Alchemist cards on the same rank, so the sentence hands over what the set has already handed over."
"""feathers are associated with winds""","Wind, which is the name of that Elemental family everywhere in the codex. It puts all four of IMPROVISED BREWING’s dice on words the site already uses."
"""when a recipe asks for 1000 coins’ worth of Fire ingredients, this could be 100 spicy peppers or a dragon flower""","""20 Supplies of Fire could be a hundred spicy peppers or a single dragon flower"". A recipe on this site asks in Supplies. The rest of the sentence is his."
"""a number of d4s equal to half your power""","""a number of d4s equal to your Mind plus your level, halved and rounded down"". Old Power was the attribute plus the level and this site has no such number, so the conversion key turns it into a die count and an attribute multiple."
"IMPROVISED BREWING: ""you still have to spend the required Willpower""","""a potion brewed this way costs no Supplies"". Improvised brewing is the path that skips the components, and the components are what Supplies now are."
"IMPROVISED BREWING, as a whole","Printed and NOT wired. It expires at the end of the day and this site has no day, only rests, and an item in the pack has no instance of its own for a state to live on. Wiring it would hand over free potions that never spoil, and the spoiling is the whole reason they are free. The table plays it. Every recipe still carries its dice on the shelf."
The potions table’s Intellect Potion and Wits Potion,"One card, POTION OF MIND. The site has three attributes where the old system had four, and the conversion key sends both Intellect and Wits to Mind. It takes either row’s die, so its combination reads ""any / Fire or Wind""."
"""restores 1d6 + the crafter’s Spellpower in health""","""restores 1d6 + your Mind in Health"", resolved against whoever holds the card. The site has nowhere on an item instance to keep a brewer’s number, and its own Healing Potion already scales on whoever drinks it. Same call on the Love Potion."
"Every potion’s Willpower cost, as a cost to drink","Not charged. All seven are 2 Action Points and no Willpower, because the old Willpower was the brewer’s price and is now the Supplies. A drinker charged it again would pay for the flask twice."
"Ranks 2, 3, 4 and 5","There are none. The source is Rank 1 only, so REFINED REAGENTS (Adept) and TWIN DISTILLATION (Master) are house-written. Both move numbers ALCHEMY already prints rather than inventing anything for the sheet to hold: the count of brews, the price of one, and how many flasks a working fills."
"""you have learned to brew all Novice Potions""","Read as the tier ladder every other tiered set prints: Novice at Rank 1, Adept at 2, Master at 3. The codex holds no Adept or Master potion yet, so those two rungs open nothing today and the presentation page says so rather than printing a silent zero."
